start,qty_actual,timestamp,machine,material,quality,other,date,version,shift_work,qty_plan,department_id,line_id,process_id,% Plan,ST Plan,ST Actual
1,4245,1615029236,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4246,1615029259,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4247,1615029286,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4248,1615029325,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4249,1615029350,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4250,1615029369,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4251,1615029388,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4252,1615029418,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4253,1615029446,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4254,1615029466,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4255,1615029505,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4256,1615029544,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4257,1615029558,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4258,1615029577,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4259,1615029596,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4260,1615029627,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4261,1615029643,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4262,1615029673,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4263,1615029690,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4264,1615029722,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4265,1615029775,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4266,1615029805,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4267,1615029826,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4268,1615029845,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4269,1615029888,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4270,1615029903,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4271,1615029944,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4272,1615029959,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4273,1615030007,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4274,1615030034,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4275,1615030061,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4276,1615030091,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4277,1615030117,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4278,1615030144,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4279,1615030174,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4280,1615030209,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4281,1615030233,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4282,1615030255,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4283,1615030294,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4284,1615030331,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4285,1615030370,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4286,1615030378,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4287,1615030388,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4288,1615030415,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4289,1615030436,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4290,1615030507,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4291,1615030522,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4292,1615030560,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4293,1615030588,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4294,1615030604,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4295,1615030628,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4296,1615030644,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4297,1615030672,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4298,1615030700,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4299,1615030716,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
